SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,personid,prtn,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient,type
62,2.27272727,0,0.44,1,4,4,FALSE,1O1R3WdhuPaX1Q/f,10.25,4,0,0,8,r,0.74545455,TRUE,0,1O1R3WdhuPaX1Q/f,0,0.48809524,person
63,2.66666667,0.0022096,0.375,0.33333333,3,4,FALSE,2qbRGC2e6l2x9Z1i,4.33333333,3,0,0,25,b,0.66666667,TRUE,0,2qbRGC2e6l2x9Z1i,6,0.5,person
64,2.75757576,0,0.36263736,1,2,5,FALSE,4sViItG94tXtwdL/,10.5,2,0,0,27,b,0.64848485,TRUE,0,4sViItG94tXtwdL/,0,0.61764706,person
65,1.93939394,0.0458634,0.515625,0.6,5,3,FALSE,59XNdspigP0DZRXw,11.6,5,0,0,14,r,0.81212121,TRUE,0,59XNdspigP0DZRXw,308,0.39310345,person
66,2.6969697,0,0.37078652,1,2,5,FALSE,7eGUsAtHWWg0tz5U,14.5,2,0,0,21,b,0.66060606,TRUE,0,7eGUsAtHWWg0tz5U,0,0.80555556,person
67,2.66666667,0.00384049,0.375,0.33333333,3,4,FALSE,7PA/qoeSB/9YwaL/,4.66666667,3,0,0,26,b,0.66666667,TRUE,0,7PA/qoeSB/9YwaL/,28,0.54166667,person
68,2.66666667,0,0.375,1,2,4,FALSE,8drZrkFnsP2IgnkT,12.5,2,0,0,18,r,0.66666667,TRUE,0,8drZrkFnsP2IgnkT,0,0.73529412,person
69,2.18181818,0.01441198,0.45833333,0.5,4,4,FALSE,bG6u5GgxIObgIl5L,10.75,4,0,0,31,b,0.76363636,TRUE,0,bG6u5GgxIObgIl5L,108,0.45652174,person
70,2.18181818,0.02233345,0.45833333,0.16666667,4,4,FALSE,c4ZqxaDGTZZ0tXTm,8.75,4,0,0,28,b,0.76363636,TRUE,0,c4ZqxaDGTZZ0tXTm,92,0.375,person
71,2.6969697,0,0.37078652,1,2,4,FALSE,c61+ILGW78ZMQ8ds,11,2,0,0,13,r,0.66060606,TRUE,0,c61+ILGW78ZMQ8ds,0,0.6875,person
72,2.6969697,0,0.37078652,1,2,5,FALSE,cuVdwiINes4OARq9,14.5,2,0,0,23,b,0.66060606,TRUE,0,cuVdwiINes4OARq9,0,0.80555556,person
73,2,0.03247505,0.5,0.33333333,3,3,FALSE,D6U6KSmHeEF1DBLc,14,3,0,0,20,r,0.8,TRUE,0,D6U6KSmHeEF1DBLc,260,0.47126437,person
